Symbol,Security
SPY,SPDR S&P 500
GLD,SPDR Gold Trust
VWO,Emerging Markets ETF
EEM,MSCI Emerging Markets Index Fund
EFA,MSCI EAFE Index Fund
QQQ,QQQ
IVV,S&P 500 Index Fund
TIP,Barclays TIPS Bond Fund
VTI,Total Stock Market ETF
LQD,iBoxx $ Investment Grade Corporate Bond Fund
IWF,Russell 1000 Growth
IWM,Russell 2000 Index Fund
BND,Total Bond Market ETF
AGG,Barclays Aggregate Bond Fund
HYG,iBoxx $ High Yield Corporate Bond Fund
IWD,Russell 1000 Value
DIA,Dow Jones Industrial Average ETF
JNK,SPDR Barclays Capital High Yield Bond ETF
VNQ,REIT ETF
IJH,S&P MidCap 400 Index Fund
VIG,Dividend Appreciation ETF
EWZ,MSCI Brazil Index Fund
DVY,Dow Jones Select Dividend Index Fund
MDY,SPDR MidCap Trust Series I
SHY,Barclays 1-3 Year Treasury Bond Fund
SLV,Silver Trust
IAU,COMEX Gold Trust
XLK,Technology Select Sector SPDR
SDY,SPDR S&P Dividend ETF
CSJ,Barclays 1-3 Year Credit Bond Fund
PFF,S&P US Preferred Stock Fund
XLE,Energy Select Sector SPDR
VEA,Europe Pacific
IJR,S&P SmallCap 600 Index Fund
BSV,Short-Term Bond ETF
XLF,Financial Select Sector SPDR
VUG,Growth ETF
IVW,S&P 500 Growth Index Fund
IWB,Russell 1000 Index Fund
VEU,FTSE All World Ex US ETF
IWR,Russell Midcap Index Fund
GDX,Market Vectors TR Gold Miners
FXI,FTSE China 25 Index Fund
XLU,Utilities Select Sector SPDR
MOO,Market Vectors-Agribusiness ETF
DBC,DB Commodity Index Tracking Fund
VTV,Value ETF
EWJ,MSCI Japan Index Fund
XLP,Consumer Staples Select Sector SPDR
MBB,Barclays MBS Bond Fund
EWC,MSCI Canada Index Fund
IVE,S&P 500 Value Index Fund
CIU,Barclays Intermediate Credit Bond Fund
IEF,Barclays 7-10 Year Treasury Bond Fund
VB,Small-Cap ETF
EMB,JP Morgan Emerging Markets Bond Fund
AMJ,Alerian MLP Index ETN
IWO,Russell 2000 Growth
XLV,Health Care Select Sector SPDR
IWN,Russell 2000 Value Index Fund
IYR,Dow Jones U.S. Real Estate Index Fund
VO,Mid-Cap ETF
TBT,UltraShort Barclays 20+ Year Treasury
IWP,Russell Midcap Growth Index
OEF,S&P 100 Index Fund
DEM,Emerging Markets Equity Income Fund
XLI,Industrial Select Sector SPDR
EWY,MSCI South Korea Index Fund
EPP,MSCI Pacific Ex-Japan Index Fund
IWV,Russell 3000
VV,Large-Cap ETF
EWG,MSCI Germany Index Fund
XLY,Consumer Discretionary Select Sector SPDR
IWS,Russell Midcap Value Index
VYM,High Dividend Yield ETF
RSP,S&P Equal Weight ETF
IJK,S&P MidCap 400 Growth Index Fund
BIV,Intermediate-Term Bond ETF
TLT,Barclays 20 Year Treasury Bond Fund
VOO,S&P 500 ETF
MUB,S&P National Municipal Bond Fund
AMLP,Alerian MLP ETF
VCSH,Short-Term Corporate Bond Index Fund
EWA,MSCI Australia Index Fund
VGK,European ETF
ICF,Cohen & Steers Realty Major
RWX,SPDR DJ Wilshire Intl Real Estate
ACWI,MSCI All Country World Index Fund
EWT,MSCI Taiwan Index Fund
DJP,Dow Jones-UBS Commodity Index TR ETN
AAXJ,MSCI All Country Asia ex Japan Index Fund
SHV,Barclays Short Treasury Bond Fund
VGT,Information Tech ETF
IJS,S&P SmallCap 600 Value Index Fund
IJJ,S&P MidCap 400 Value Index Fund
IEI,Barclays 3-7 Year Treasury Bond Fund
RSX,Market Vectors TR Russia ETF
VBK,Small-Cap Growth ETF
ILF,Latin America 40 Index Fund
